City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,palmer,0,AU,1525143600,23,-34.85,139.16,73.4,10.29
88,iqaluit,75,CA,1525145280,65,63.75,-68.52,8.6,9.17
89,hasanabad,90,IR,1525143600,87,35.37,51.24,51.8,17.22
90,mayya,0,RU,1525143600,20,61.74,130.28,44.6,4.47
91,awjilah,0,LY,1525146163,90,29.14,21.3,60.93,10.2
92,loma bonita,92,MX,1525146163,74,18.11,-95.88,82.35,2.48
93,puerto ayora,8,EC,1525145630,99,-0.74,-90.35,77.13,9.19
94,thompson,5,CA,1525143600,55,55.74,-97.86,35.6,3.36
95,uvelskiy,92,RU,1525146164,81,54.44,61.36,39.6,8.19
96,port hedland,0,AU,1525141800,62,-20.31,118.58,87.8,6.93
97,tomatlan,0,MX,1525145865,76,19.93,-105.25,72.45,2.71
98,tiksi,80,RU,1525145646,89,71.64,128.87,36.63,21.27
99,bluff,20,AU,1525145649,40,-23.58,149.07,80.55,11.54
100,cayenne,90,GF,1525143600,100,4.94,-52.33,75.2,6.17
101,pangnirtung,32,CA,1525145788,80,66.15,-65.72,1.08,14.45
102,pokhara,20,NP,1525145704,78,28.21,83.99,61.83,2.04
103,wokha,92,IN,1525146166,98,26.1,94.25,67.68,3.49
104,hegra,0,NO,1525143000,52,63.46,11.11,41.0,6.93
105,shingu,40,JP,1525143600,53,33.72,135.99,75.2,5.82
106,aksarka,0,RU,1525145750,86,66.56,67.8,15.3,13.44
107,suntar,32,RU,1525146167,54,62.16,117.65,50.76,5.73
108,new norfolk,0,AU,1525141800,37,-42.78,147.06,69.8,11.41
109,saskylakh,76,RU,1525145692,96,71.97,114.09,37.35,16.02
110,longyearbyen,90,NO,1525143000,86,78.22,15.63,28.4,2.24
111,ostrovnoy,0,RU,1525145689,87,68.05,39.51,23.22,10.2
112,sinnamary,80,GF,1525145655,100,5.38,-52.96,77.4,9.19
113,verkhnyaya maksakovka,0,RU,1525143600,81,61.63,50.97,32.0,8.95
114,comodoro rivadavia,0,AR,1525143600,49,-45.87,-67.48,48.2,8.05
115,velsk,36,RU,1525146170,93,61.07,42.1,33.48,7.18
116,kostino,0,BG,1525143600,100,41.7,25.3,51.8,8.05
117,marsh harbour,0,BS,1525145662,100,26.54,-77.06,74.43,17.69
118,torbay,90,CA,1525143600,100,47.66,-52.73,33.8,9.17
119,kamloops,90,CA,1525143600,36,50.68,-120.34,62.6,4.7
